District,Year,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd
Chennai,2013,27.79,33.82,22.9,1023.06,2.8,54.34,72.75,3.22,141,2.46,6.27
Chennai,2014,27.98,33.02,22.98,1096.01,3.0,53.9,71.05,3.2,130,2.58,6.93
Chennai,2015,27.87,32.96,22.36,1961.46,5.37,132.57,73.24,3.01,151,2.46,15.35
Chennai,2016,28.11,33.46,22.66,811.36,2.22,104.15,70.68,3.04,98,2.49,7.61
Chennai,2017,28.13,34.65,23.09,1290.07,3.53,57.85,72.2,3.01,143,2.74,7.5
Chennai,2018,28.08,32.87,21.8,832.38,2.28,78.67,70.88,3.06,106,2.63,6.44
Chennai,2019,28.36,33.98,22.22,1207.03,3.31,70.8,72.52,3.13,140,2.66,7.38
Chennai,2020,27.9,33.12,23.1,1560.54,4.26,115.52,74.88,2.92,160,2.27,10.69
Chennai,2021,27.61,32.48,22.4,1841.35,5.04,84.05,76.3,2.9,179,2.34,11.26
Chennai,2022,27.65,32.25,22.52,1364.28,3.74,67.26,75.95,2.88,170,2.24,8.07
Chennai,2023,27.99,34.15,22.54,1525.88,4.18,187.88,74.78,2.94,153,2.44,11.98
Chennai,2024,28.36,34.6,22.36,1623.87,4.44,128.29,74.67,3.09,156,2.34,11.04
Chennai,2025,27.77,32.04,22.57,1316.44,3.61,97.64,74.41,2.93,167,2.49,7.87
Coimbatore,2005,24.37,29.96,18.47,1293.2,3.54,43.98,77.54,2.1,184,2.25,6.04
Coimbatore,2006,23.96,30.32,18.73,1321.24,3.62,38.91,78.42,2.26,185,2.57,5.81
Coimbatore,2007,24.15,30.7,19.0,1422.88,3.9,34.78,76.47,2.08,178,2.58,6.13
Coimbatore,2008,23.79,28.18,18.8,1179.34,3.22,39.37,77.69,2.06,170,1.76,5.71
Coimbatore,2009,24.48,30.25,19.7,1112.06,3.05,38.5,74.94,2.24,169,2.21,5.58
Coimbatore,2010,24.61,30.66,18.29,1326.02,3.63,35.53,76.74,2.06,210,2.49,5.17
Coimbatore,2011,23.92,29.66,19.25,1177.25,3.23,29.75,77.29,2.2,174,2.15,5.11
Coimbatore,2012,24.83,29.84,19.81,752.46,2.06,28.45,72.4,2.24,149,2.02,3.63
Coimbatore,2013,24.72,30.85,20.04,1070.05,2.93,25.35,73.79,2.32,188,2.3,4.28
Coimbatore,2014,24.66,30.27,20.14,1177.5,3.23,44.66,74.41,2.16,176,2.18,5.31
Coimbatore,2015,24.84,29.66,20.17,955.98,2.62,29.78,74.33,2.01,188,1.74,3.95
Coimbatore,2016,25.49,31.19,19.97,698.69,1.91,21.94,70.21,2.14,133,2.46,3.24
Coimbatore,2017,24.65,30.34,19.69,1217.72,3.34,38.1,75.39,2.01,191,1.99,5.22
Coimbatore,2018,24.44,30.09,20.64,1325.92,3.63,39.95,75.94,2.03,190,1.82,5.78
Coimbatore,2019,25.22,31.58,19.84,1360.16,3.73,50.65,74.19,2.1,188,2.68,6.09
Coimbatore,2020,24.88,31.09,19.88,1259.41,3.44,57.95,76.16,2.06,197,2.46,5.81
Coimbatore,2021,24.05,30.13,18.82,1603.91,4.39,35.2,80.92,1.98,242,2.0,5.51
Coimbatore,2022,24.14,29.0,19.97,1519.59,4.16,37.5,79.91,1.86,210,1.84,5.84
Coimbatore,2023,24.86,30.17,20.16,1145.2,3.14,31.16,74.48,2.01,188,2.0,5.0
Coimbatore,2024,25.18,32.21,20.39,1388.26,3.79,32.08,76.93,1.92,190,2.63,5.77
Coimbatore,2025,24.49,29.07,19.28,1198.35,3.28,29.11,78.14,2.18,195,1.98,4.82
Cuddalore,2005,28.25,31.28,24.35,1409.7,3.86,67.72,76.42,4.11,167,1.93,8.31
Cuddalore,2006,27.99,31.87,23.64,967.42,2.65,56.2,75.66,4.04,171,1.97,5.26
Cuddalore,2007,27.96,31.75,23.63,1060.31,2.9,76.72,75.55,3.95,163,1.86,7.21
Cuddalore,2008,27.9,31.14,23.57,1232.65,3.37,91.84,76.29,3.98,166,1.81,9.09
Cuddalore,2009,28.34,32.0,24.33,1036.81,2.84,60.39,74.04,3.97,131,1.94,6.53
Cuddalore,2010,28.2,32.01,23.09,1368.07,3.75,57.51,77.18,3.87,205,1.91,6.58
Cuddalore,2011,28.12,31.61,24.28,1093.9,3.0,46.55,75.06,4.13,173,1.88,6.15
Cuddalore,2012,28.22,31.6,23.6,855.58,2.34,68.86,74.84,4.05,144,1.85,6.13
Cuddalore,2013,28.33,32.16,24.54,899.6,2.46,40.89,74.34,4.16,154,1.8,4.36
Cuddalore,2014,28.26,31.31,24.69,976.42,2.68,42.04,74.52,4.15,166,1.89,5.18
Cuddalore,2015,28.23,31.02,24.29,1511.58,4.14,125.11,76.12,3.95,175,1.74,9.96
Cuddalore,2016,28.36,31.88,24.43,790.76,2.16,135.18,74.5,3.79,125,1.75,8.07
Cuddalore,2017,28.39,32.37,24.7,1239.04,3.39,48.87,75.21,3.95,191,1.92,6.34
Cuddalore,2018,28.13,31.34,23.73,944.38,2.59,33.8,75.74,4.05,160,1.94,4.87
Cuddalore,2019,28.55,32.3,23.89,1058.71,2.9,56.49,75.58,4.09,167,1.94,5.69
Cuddalore,2020,28.39,32.73,24.85,1326.26,3.62,82.81,76.08,3.95,191,1.67,8.0
Cuddalore,2021,28.03,31.12,24.34,1737.25,4.76,104.35,78.62,3.82,203,1.68,9.26
Cuddalore,2022,27.97,31.41,23.51,1189.47,3.26,60.45,78.19,3.76,205,1.57,5.52
Cuddalore,2023,28.39,31.6,23.94,1110.37,3.04,54.88,76.52,3.93,193,1.71,5.68
Cuddalore,2024,28.71,32.43,24.36,1222.47,3.34,65.73,76.69,3.98,173,1.62,7.14
Cuddalore,2025,28.32,31.36,24.7,1167.16,3.2,63.34,76.18,3.8,178,1.86,6.39
Dharmapuri,2005,25.52,32.43,18.24,1329.19,3.64,59.58,71.57,2.08,144,2.94,7.41
Dharmapuri,2006,25.39,34.11,18.23,782.72,2.14,24.82,70.04,2.26,141,3.28,3.9
Dharmapuri,2007,25.51,32.16,17.6,968.69,2.65,57.32,69.05,2.11,132,3.1,5.72
Dharmapuri,2008,24.91,31.76,17.73,1161.7,3.17,75.34,72.39,2.02,140,2.84,7.68
Dharmapuri,2009,25.8,33.47,18.67,738.91,2.02,26.26,67.39,2.26,119,2.98,4.4
Dharmapuri,2010,25.82,33.52,18.26,1132.13,3.1,38.28,70.95,2.05,165,3.08,5.78
Dharmapuri,2011,25.31,31.68,18.29,863.83,2.37,31.09,69.65,2.26,126,3.07,4.79
Dharmapuri,2012,26.06,33.07,19.36,769.41,2.1,55.2,66.18,2.21,106,2.91,5.38
Dharmapuri,2013,26.01,33.43,20.1,780.32,2.14,32.75,66.7,2.41,124,2.93,4.45
Dharmapuri,2014,26.14,33.07,20.58,700.84,1.92,26.63,65.48,2.38,112,2.77,4.15
Dharmapuri,2015,25.92,31.83,19.9,882.6,2.42,43.9,68.43,2.18,139,2.33,4.9
Dharmapuri,2016,26.82,35.56,20.1,502.66,1.37,21.84,61.91,2.19,84,2.91,3.44
Dharmapuri,2017,26.03,33.55,19.34,925.82,2.54,27.57,67.7,2.08,146,2.87,4.69
Dharmapuri,2018,26.19,32.48,20.25,659.12,1.81,27.45,65.61,2.21,124,2.4,3.58
Dharmapuri,2019,26.5,32.8,20.56,937.74,2.57,30.31,67.42,2.14,138,2.95,4.92
Dharmapuri,2020,26.1,34.04,19.84,898.95,2.46,41.44,69.54,2.12,142,2.95,4.64
Dharmapuri,2021,25.33,33.3,19.12,1318.78,3.61,154.37,73.73,2.02,171,2.58,10.02
Dharmapuri,2022,25.22,31.14,19.52,1293.88,3.54,115.83,74.44,1.95,150,2.44,8.34
Dharmapuri,2023,26.33,33.27,19.43,765.56,2.1,38.81,67.53,2.1,137,2.62,4.19
Dharmapuri,2024,26.5,34.66,19.84,1088.22,2.97,48.83,69.65,2.2,141,2.66,6.11
Dharmapuri,2025,25.86,31.28,19.91,772.78,2.12,57.03,69.65,2.13,133,2.56,5.04
Dindigul,2005,26.98,33.35,20.51,1198.54,3.28,78.87,70.88,2.35,130,2.75,8.51
Dindigul,2006,26.51,34.07,19.98,877.0,2.4,45.57,71.78,2.41,126,3.01,5.41
Dindigul,2007,27.21,33.29,20.59,776.42,2.13,67.59,66.86,2.36,113,2.82,6.19
Dindigul,2008,26.46,31.6,19.24,1047.47,2.86,89.13,71.11,2.22,102,2.58,9.33
Dindigul,2009,27.47,33.88,20.94,611.61,1.68,34.43,65.42,2.58,98,3.03,4.29
Dindigul,2010,27.41,33.97,20.37,985.58,2.7,36.14,68.38,2.33,135,2.9,5.17
Dindigul,2011,26.75,32.4,20.26,817.34,2.24,40.54,69.55,2.46,109,2.92,5.26
Dindigul,2012,27.47,33.2,20.8,629.79,1.72,34.73,66.1,2.46,90,2.53,4.36
Dindigul,2013,27.84,34.3,21.62,607.37,1.66,31.73,63.97,2.74,82,2.67,4.37
Dindigul,2014,27.49,33.5,20.79,723.03,1.98,41.74,66.02,2.59,103,2.59,4.87
Dindigul,2015,27.19,31.72,21.86,936.48,2.57,38.25,69.67,2.33,138,2.23,4.96
Dindigul,2016,28.12,35.15,21.22,456.51,1.25,28.27,63.19,2.55,82,2.67,3.36
Dindigul,2017,27.42,35.13,21.45,861.36,2.36,50.86,67.74,2.31,141,2.64,4.94
Dindigul,2018,27.22,32.87,21.92,730.51,2.0,41.74,68.12,2.46,132,2.19,4.18
Dindigul,2019,28.06,34.26,21.52,828.3,2.27,39.51,66.12,2.39,128,3.05,4.56
Dindigul,2020,27.43,34.14,21.28,1022.93,2.79,111.92,69.54,2.34,139,2.65,7.54
Dindigul,2021,26.5,32.28,20.7,1227.1,3.36,32.02,74.9,2.17,171,2.51,5.39
Dindigul,2022,26.54,31.7,20.97,1134.41,3.11,41.11,73.93,2.18,153,2.18,5.44
Dindigul,2023,27.39,33.63,21.67,954.78,2.62,27.97,69.68,2.22,151,2.5,4.59
Dindigul,2024,27.68,35.47,22.3,1009.8,2.76,44.61,70.63,2.33,144,2.62,5.6
Dindigul,2025,27.16,31.52,20.54,826.88,2.27,35.04,70.71,2.38,135,2.53,4.65
Erode,2005,26.12,32.82,19.08,1022.76,2.8,47.36,68.96,1.61,137,2.8,5.99
Erode,2006,25.85,33.44,19.06,665.26,1.82,24.87,68.64,1.73,138,3.01,3.37
Erode,2007,26.13,32.16,19.68,768.57,2.11,50.83,66.16,1.64,126,2.86,4.67
Erode,2008,25.57,31.1,18.9,865.44,2.36,39.21,69.34,1.61,123,2.54,5.26
Erode,2009,26.47,33.16,19.99,558.55,1.53,24.17,64.36,1.75,109,2.66,3.37
Erode,2010,26.48,33.64,19.07,907.91,2.49,34.74,67.55,1.56,153,2.85,4.72
Erode,2011,25.91,32.26,19.67,739.38,2.03,35.6,67.11,1.71,115,2.76,4.27
Erode,2012,26.78,33.19,20.68,561.03,1.53,48.12,62.72,1.69,95,2.65,4.24
Erode,2013,26.79,33.61,21.06,603.19,1.65,20.47,62.9,1.78,113,2.66,3.4
Erode,2014,26.74,33.52,21.3,604.21,1.66,22.49,62.98,1.74,100,2.52,3.66
Erode,2015,26.41,32.02,21.21,883.55,2.42,41.81,66.7,1.56,129,2.18,4.93
Erode,2016,27.48,34.94,20.76,425.6,1.16,17.16,59.19,1.66,77,2.76,2.81
Erode,2017,26.52,33.42,20.67,838.12,2.3,34.52,65.85,1.55,137,2.6,4.47
Erode,2018,26.56,33.63,21.31,693.17,1.9,32.8,64.8,1.61,128,2.19,4.02
Erode,2019,27.06,33.27,21.21,878.46,2.41,24.52,65.11,1.61,139,2.97,4.56
Erode,2020,26.64,33.49,20.86,859.27,2.35,34.58,67.52,1.57,134,2.83,4.6
Erode,2021,25.68,33.32,19.84,1240.12,3.4,82.37,73.18,1.49,179,2.42,7.2
Erode,2022,25.8,31.04,19.81,1041.49,2.85,38.26,72.02,1.44,148,2.25,5.17
Erode,2023,26.8,33.3,21.14,780.3,2.14,32.96,65.46,1.56,138,2.4,4.14
Erode,2024,26.92,35.24,21.05,1087.18,2.97,49.4,68.3,1.53,141,2.76,6.16
Erode,2025,26.31,31.09,20.28,741.03,2.03,43.44,68.51,1.59,127,2.37,4.57
Kallakurichi,2005,26.66,32.5,19.69,1261.06,3.45,84.37,71.63,2.43,127,2.94,8.06
Kallakurichi,2006,26.49,34.84,19.7,783.67,2.15,31.54,70.42,2.56,133,3.25,4.34
Kallakurichi,2007,26.55,33.21,19.33,897.43,2.46,66.66,69.76,2.44,123,2.96,6.19
Kallakurichi,2008,26.03,32.76,19.07,1146.2,3.13,79.24,72.74,2.31,131,2.82,8.49
Kallakurichi,2009,27.03,34.09,20.47,707.9,1.94,29.4,67.28,2.6,112,3.07,4.26
Kallakurichi,2010,26.72,33.54,19.52,1116.81,3.06,37.29,72.07,2.37,161,2.95,5.72
Kallakurichi,2011,26.37,31.92,19.47,898.47,2.46,33.34,70.63,2.57,119,3.02,5.18
Kallakurichi,2012,26.89,32.44,20.04,772.01,2.11,48.75,68.31,2.51,99,2.8,5.36
Kallakurichi,2013,27.16,34.41,20.74,714.26,1.96,36.09,66.98,2.73,114,2.88,4.41
Kallakurichi,2014,27.05,32.8,21.39,709.96,1.95,25.32,67.16,2.64,115,2.7,4.27
Kallakurichi,2015,26.72,32.31,20.91,1148.85,3.15,58.56,70.93,2.42,137,2.52,6.42
Kallakurichi,2016,27.45,35.27,19.94,510.77,1.4,35.67,65.55,2.37,89,3.02,3.44
Kallakurichi,2017,27.06,34.78,20.2,898.22,2.46,32.11,68.8,2.4,140,3.03,4.52
Kallakurichi,2018,26.84,32.51,20.81,718.11,1.97,25.66,69.04,2.5,124,2.66,4.22
Kallakurichi,2019,27.39,33.89,20.48,934.51,2.56,31.46,68.88,2.46,130,3.2,5.07
Kallakurichi,2020,26.91,34.94,20.57,997.11,2.72,61.87,71.33,2.41,132,3.03,6.07
Kallakurichi,2021,26.1,33.3,19.67,1420.74,3.89,50.49,75.84,2.26,177,2.72,6.84
Kallakurichi,2022,26.21,32.04,20.39,1074.73,2.94,55.53,74.96,2.18,154,2.49,5.53
Kallakurichi,2023,27.12,33.24,20.88,831.02,2.28,34.51,69.88,2.37,146,2.72,4.26
Kallakurichi,2024,27.27,34.96,21.27,1180.35,3.22,73.79,71.67,2.47,138,2.65,7.21
Kallakurichi,2025,26.63,31.68,19.99,877.05,2.4,47.09,72.0,2.33,126,2.81,5.38
Kanchipuram,2005,27.9,32.77,22.43,1894.66,5.19,168.33,73.91,3.17,134,2.53,15.2
Kanchipuram,2006,27.82,34.61,22.57,1236.69,3.39,95.98,72.14,3.06,133,2.8,9.04
Kanchipuram,2007,27.63,34.82,22.48,1255.81,3.44,86.6,73.32,3.06,135,2.66,8.62
Kanchipuram,2008,27.66,34.3,22.11,1428.04,3.9,178.98,73.16,2.95,137,2.66,13.14
Kanchipuram,2009,28.22,34.81,22.91,1165.21,3.19,72.42,70.58,3.12,117,2.75,8.18
Kanchipuram,2010,27.83,33.56,21.38,1361.98,3.73,80.79,75.53,3.03,160,2.54,7.89
Kanchipuram,2011,27.72,33.0,22.37,1371.22,3.76,58.97,72.46,3.1,130,2.65,8.21
Kanchipuram,2012,27.97,35.26,21.4,1004.69,2.75,51.6,71.44,3.07,115,2.83,7.07
Kanchipuram,2013,27.79,33.82,22.9,1023.06,2.8,54.34,72.75,3.22,141,2.46,6.27
Kanchipuram,2014,27.98,33.02,22.98,1096.01,3.0,53.9,71.05,3.2,130,2.58,6.93
Kanchipuram,2015,27.87,32.96,22.36,1961.46,5.37,132.57,73.24,3.01,151,2.46,15.35
Kanchipuram,2016,28.11,33.46,22.66,811.36,2.22,104.15,70.68,3.04,98,2.49,7.61
Kanchipuram,2017,28.13,34.65,23.09,1290.07,3.53,57.85,72.2,3.01,143,2.74,7.5
Kanchipuram,2018,28.08,32.87,21.8,832.38,2.28,78.67,70.88,3.06,106,2.63,6.44
Kanchipuram,2019,28.36,33.98,22.22,1207.03,3.31,70.8,72.52,3.13,140,2.66,7.38
Kanchipuram,2020,27.9,33.12,23.1,1560.54,4.26,115.52,74.88,2.92,160,2.27,10.69
Kanchipuram,2021,27.61,32.48,22.4,1841.35,5.04,84.05,76.3,2.9,179,2.34,11.26
Kanchipuram,2022,27.65,32.25,22.52,1364.28,3.74,67.26,75.95,2.88,170,2.24,8.07
Kanchipuram,2023,27.99,34.15,22.54,1525.88,4.18,187.88,74.78,2.94,153,2.44,11.98
Kanchipuram,2024,28.36,34.6,22.36,1623.87,4.44,128.29,74.67,3.09,156,2.34,11.04
Kanchipuram,2025,27.77,32.04,22.57,1316.44,3.61,97.64,74.41,2.93,167,2.49,7.87
Kanniyakumari,2005,27.36,29.97,25.38,1907.81,5.23,96.15,82.05,4.41,153,1.09,11.21
Kanniyakumari,2006,27.1,29.63,24.84,2087.56,5.72,94.48,82.59,4.56,142,1.04,13.11
Kanniyakumari,2007,27.25,29.94,25.12,1270.2,3.48,60.09,80.82,4.52,154,1.08,7.0
Kanniyakumari,2008,27.33,28.77,25.6,1334.69,3.65,60.4,80.17,4.41,140,0.68,7.96
Kanniyakumari,2009,27.51,29.86,25.45,1023.18,2.8,59.52,79.78,4.5,129,1.02,6.76
Kanniyakumari,2010,27.52,30.42,24.93,1182.8,3.24,55.58,80.25,4.53,158,1.24,7.16
Kanniyakumari,2011,27.57,29.55,25.4,879.69,2.41,79.43,78.45,4.61,116,0.87,6.82
Kanniyakumari,2012,27.74,29.84,25.43,764.68,2.09,32.67,78.2,4.72,130,0.79,4.2
Kanniyakumari,2013,27.52,30.36,25.38,1025.51,2.81,47.23,79.49,4.63,156,1.06,5.67
Kanniyakumari,2014,27.56,30.0,24.31,1244.2,3.41,83.7,80.15,4.52,158,1.02,7.87
Kanniyakumari,2015,27.67,29.97,25.85,1434.88,3.93,72.17,80.3,4.13,213,0.88,7.78
Kanniyakumari,2016,27.77,30.82,25.36,672.19,1.84,47.63,78.9,4.36,121,1.29,4.45
Kanniyakumari,2017,27.61,29.83,25.97,1136.91,3.11,199.47,79.93,4.41,197,0.93,11.09
Kanniyakumari,2018,27.45,30.19,25.18,1001.93,2.75,40.88,80.3,4.13,177,1.11,4.89
Kanniyakumari,2019,28.01,30.73,26.08,1364.5,3.74,117.31,79.27,4.24,187,1.08,9.79
Kanniyakumari,2020,27.87,30.87,25.75,1251.07,3.42,98.72,80.21,4.35,187,1.12,8.63
Kanniyakumari,2021,27.41,30.1,25.05,1917.41,5.25,126.37,82.48,4.45,227,0.91,11.28
Kanniyakumari,2022,27.43,29.56,25.65,1136.84,3.11,51.01,80.74,4.2,200,0.9,5.63
Kanniyakumari,2023,27.95,30.39,26.03,1326.93,3.64,104.2,79.41,4.22,189,0.94,8.59
Kanniyakumari,2024,28.22,31.18,25.88,1179.41,3.22,83.46,80.7,4.33,186,1.15,7.07
Kanniyakumari,2025,27.7,30.44,25.1,1455.15,3.99,111.45,81.94,4.42,225,1.08,8.7
Karur,2005,27.25,33.69,20.65,1102.93,3.02,81.82,69.44,2.46,112,2.89,7.89
Karur,2006,26.79,34.64,20.0,738.28,2.02,39.11,70.11,2.57,109,3.14,4.67
Karur,2007,27.32,33.56,20.48,766.9,2.1,70.78,66.42,2.51,113,2.92,6.14
Karur,2008,26.55,32.21,19.06,1033.28,2.82,80.32,70.74,2.36,107,2.68,8.84
Karur,2009,27.52,33.85,20.81,596.86,1.64,33.88,65.6,2.7,95,2.99,4.0
Karur,2010,27.5,34.42,20.25,975.99,2.67,33.3,68.54,2.43,142,2.96,5.03
Karur,2011,26.77,32.95,19.94,831.31,2.28,39.43,69.52,2.59,118,2.98,5.14
Karur,2012,27.5,33.71,20.9,671.1,1.83,39.32,66.08,2.57,93,2.65,4.65
Karur,2013,27.9,34.55,21.91,609.14,1.67,36.05,63.99,2.82,96,2.76,4.12
Karur,2014,27.73,34.09,21.82,653.01,1.79,33.26,64.74,2.67,107,2.58,4.21
Karur,2015,27.48,32.87,22.2,863.87,2.37,26.97,68.01,2.43,134,2.27,4.43
Karur,2016,28.5,35.65,21.59,381.71,1.04,19.06,61.03,2.65,74,2.71,2.5
Karur,2017,27.66,35.23,21.47,773.79,2.12,37.93,66.55,2.44,139,2.66,4.31
Karur,2018,27.5,33.6,22.3,677.47,1.86,31.99,66.74,2.57,131,2.21,3.88
Karur,2019,28.21,34.71,21.99,769.41,2.11,30.19,65.55,2.52,129,3.0,4.03
Karur,2020,27.69,34.26,21.42,864.52,2.36,55.68,68.22,2.48,135,2.78,5.3
Karur,2021,26.71,33.38,20.66,1142.1,3.13,26.65,73.81,2.3,173,2.51,4.92
Karur,2022,26.87,32.2,21.27,976.15,2.67,43.79,72.27,2.28,156,2.24,4.9
Karur,2023,27.8,34.22,22.24,778.33,2.13,24.73,67.07,2.41,139,2.49,3.86
Karur,2024,27.93,35.9,22.18,992.05,2.71,42.27,69.38,2.42,137,2.7,5.45
Karur,2025,27.42,31.64,21.28,715.77,1.96,35.2,69.16,2.46,127,2.48,4.15
Krishnagiri,2005,24.41,31.43,17.11,1386.84,3.8,55.38,73.22,2.49,155,2.89,7.35
Krishnagiri,2006,24.38,33.42,17.27,771.9,2.11,25.66,70.98,2.72,139,3.17,3.79
Krishnagiri,2007,24.4,30.84,16.5,1049.81,2.88,42.49,70.81,2.52,126,3.01,5.91
Krishnagiri,2008,23.92,30.74,16.81,1180.77,3.23,65.55,73.27,2.46,143,2.82,7.29
Krishnagiri,2009,24.7,32.87,17.79,822.42,2.25,48.65,68.99,2.7,122,2.91,5.52
Krishnagiri,2010,24.83,32.73,17.34,1092.72,2.99,44.08,71.99,2.53,161,3.03,5.32
Krishnagiri,2011,24.46,30.95,18.01,803.55,2.2,30.78,69.38,2.78,124,2.93,4.54
Krishnagiri,2012,25.22,31.81,18.64,719.42,1.97,46.91,65.79,2.72,112,2.84,4.79
Krishnagiri,2013,24.86,32.56,19.24,837.33,2.29,45.68,68.52,2.93,135,2.86,4.74
Krishnagiri,2014,25.14,32.28,19.42,681.19,1.87,28.73,66.09,2.85,108,2.74,3.95
Krishnagiri,2015,24.94,30.79,19.05,845.16,2.32,38.23,68.82,2.65,143,2.29,4.53
Krishnagiri,2016,25.63,34.92,18.92,592.16,1.62,31.61,63.49,2.62,84,2.93,4.25
Krishnagiri,2017,24.92,32.15,18.24,1064.58,2.92,36.32,68.99,2.46,143,2.96,5.68
Krishnagiri,2018,25.11,31.29,18.92,669.36,1.83,23.26,66.37,2.61,123,2.39,3.46
Krishnagiri,2019,25.5,32.07,19.6,956.53,2.62,33.08,68.1,2.56,140,2.9,5.12
Krishnagiri,2020,24.97,32.96,18.63,1023.64,2.8,44.15,71.32,2.51,138,2.85,5.6
Krishnagiri,2021,24.39,32.21,18.05,1325.58,3.63,144.91,74.23,2.46,164,2.55,9.66
Krishnagiri,2022,24.2,30.56,18.36,1655.32,4.54,266.32,75.54,2.36,150,2.51,15.66
Krishnagiri,2023,25.23,32.12,17.79,792.42,2.17,35.24,68.71,2.53,124,2.61,4.46
Krishnagiri,2024,25.59,33.84,18.63,1061.86,2.9,52.88,70.01,2.7,134,2.6,5.91
