District,Year,Season,Crop,Area,Production,Yield,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd,Temperature_Category,Rainfall_Category,Humidity_Category,Wind_Category,Yield_Category
0,2009,4,0,160.0,122.0,0.7625,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,2
0,2009,4,1,644.0,1082.0,1.6801242236024845,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,1
0,2009,4,2,134.0,5761.0,42.992537313432834,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,2
0,2009,4,3,31188.0,9975.0,0.3198345517506733,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,2
0,2009,4,4,338.0,134.0,0.3964497041420118,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,2
0,2009,4,5,4074.0,11033.0,2.7081492390770743,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,0
0,2009,4,6,1676.0,608.0,0.3627684964200477,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,1
0,2009,4,8,13878.0,27002.0,1.9456694048133736,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,1
0,2009,4,10,4959.0,7043.0,1.420246017342206,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,2
0,2009,4,11,9979.0,23891.0,2.394127668103016,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,1
0,2009,4,12,13.0,11.0,0.8461538461538461,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,0
0,2009,4,13,47.0,458.0,9.74468085106383,28.45,34.19,22.47,959.42,2.63,47.98,68.63,2.98,103,2.99,6.68,1,2,2,2,0
