Rank,Crop,Total_Records,Districts,Years,Average_Area,Average_Production,Average_Yield,Maximum_Yield,Minimum_Yield
1,Sugarcane,453,31,15,9267.03,27489038.92,4064.7,13847.48,55.45
2,Banana,403,32,13,3318.19,6274673.74,1931.61,9576.06,23.57
3,Maize,610,32,14,7016.26,2413661.74,383.41,1200.0,0.86
4,Rice,633,31,15,43275.24,6340453.77,236.04,602.93,0.2
5,Ragi,578,30,15,2275.44,279797.33,172.5,522.99,0.36
6,Groundnut,687,31,15,8693.51,794992.98,149.95,850.68,0.69
7,Bajra,529,28,13,1597.7,197283.67,145.03,486.67,0.26
8,Cotton(lint),617,31,15,3330.57,315358.33,110.78,609.76,0.05
