,Year,Area,Production,Yield,AvgTemperature,MaxTemperature,MinTemperature,TotalRainfall,AvgRainfall,MaxRainfall,AvgHumidity,AvgWindSpeed,RainyDays,TemperatureStd,RainfallStd
count,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0,4510.0
mean,2013.06,10509.12,4761394.95,742.98,27.23,32.95,21.43,947.19,2.59,50.48,70.34,2.71,130.29,2.53,5.81
std,4.25,24508.81,28890422.72,2058.35,1.32,1.64,1.65,284.01,0.78,24.53,4.07,0.62,26.15,0.48,1.97
min,2005.0,1.0,1.0,0.05,22.72,27.4,16.5,381.71,1.04,15.64,59.19,1.52,74.0,0.68,2.5
25%,2010.0,295.0,5496.25,3.16,26.77,32.02,20.52,752.8,2.06,34.07,67.69,2.35,112.0,2.21,4.44
50%,2014.0,2201.0,92613.5,126.41,27.65,33.04,21.57,883.91,2.42,43.74,70.04,2.62,130.0,2.64,5.31
75%,2017.0,8424.75,1094008.25,380.69,28.13,34.19,22.41,1102.93,3.02,58.3,72.75,2.97,146.0,2.89,6.51
max,2019.0,194743.0,936821200.0,13847.48,29.08,36.01,26.08,2103.82,5.76,199.47,83.38,4.72,213.0,3.57,15.35
