Metric,Value
Total Records,16342
Total Columns,8
Total Districts,36
Total Crops,25
Total Seasons,6
Year Range,1997 - 2019
Total Area,109111632.0
Total Production,1056125609.99
Average Yield,9.24
Maximum Yield,314.74
Minimum Yield,0.0
