Crop,District,Years_Covered,Total_Area,Total_Production,Average_Yield,Yield_Std,Maximum_Yield,Minimum_Yield,Records,CV_Percentage,Yield_Stability
Ragi,THIRUVARUR,5,34.0,4235.0,123.99,131.92,350.0,1.0,9,106.39,Highly Variable
Ragi,TIRUPPUR,2,23.0,4035.0,273.79,251.37,500.0,3.18,3,91.81,Highly Variable
Ragi,NAGAPATTINAM,5,11.0,1815.0,209.31,167.13,400.0,2.5,6,79.85,Highly Variable
Rice,THANJAVUR,23,6565404.0,1225972940.0,211.92,172.66,497.03,2.02,45,81.47,Highly Variable
Rice,VILLUPURAM,23,5536586.0,1159710936.0,237.75,190.24,485.53,2.99,45,80.02,Highly Variable
Rice,THIRUVARUR,23,6509659.0,1048182699.0,185.82,170.97,470.58,0.86,45,92.01,Highly Variable
Rice,NAGAPATTINAM,23,6177012.0,885148861.0,173.93,160.22,446.71,0.86,45,92.12,Highly Variable
Rice,CUDDALORE,23,4560944.0,883127867.0,216.47,178.19,476.66,1.91,45,82.32,Highly Variable
Rice,KANCHIPURAM,23,4327314.0,868887097.0,251.24,203.61,553.03,2.56,45,81.04,Highly Variable
Rice,TIRUVANNAMALAI,23,4162077.0,832368417.0,224.2,180.98,471.63,2.63,45,80.72,Highly Variable
Rice,THIRUVALLUR,23,3590875.0,739665972.0,235.06,188.58,495.91,2.61,45,80.23,Highly Variable
Rice,TIRUNELVELI,23,3031660.0,726853042.0,266.06,210.76,582.83,3.42,45,79.21,Highly Variable
Rice,TIRUCHIRAPPALLI,23,2383078.0,513381418.0,253.05,204.28,541.93,2.94,45,80.73,Highly Variable
Rice,PUDUKKOTTAI,23,3450143.0,511040904.0,178.08,154.81,446.82,1.65,45,86.94,Highly Variable
Rice,MADURAI,23,2173065.0,451388567.0,242.0,192.67,487.5,2.55,45,79.62,Highly Variable
Rice,RAMANATHAPURAM,23,4925893.0,416809328.0,84.36,111.54,362.09,0.17,39,132.23,Highly Variable
Rice,VELLORE,23,1772991.0,380066709.0,249.29,200.31,532.28,2.88,45,80.35,Highly Variable
Rice,ERODE,23,1471890.0,343696627.0,270.21,214.47,527.76,3.44,45,79.37,Highly Variable
Rice,SIVAGANGA,23,3047737.0,327353907.0,149.18,152.4,446.92,0.69,45,102.16,Highly Variable
Rice,SALEM,23,1090296.0,237173022.0,258.7,205.22,532.4,3.21,45,79.33,Highly Variable
Rice,DHARMAPURI,23,1152881.0,226561503.0,250.6,203.25,519.93,2.43,45,81.11,Highly Variable
Rice,VIRUDHUNAGAR,23,1069628.0,191373172.0,212.46,177.31,483.32,1.76,45,83.46,Highly Variable
Rice,KANNIYAKUMARI,23,792460.0,178090154.0,264.26,209.08,542.28,3.05,45,79.12,Highly Variable
Rice,PERAMBALUR,23,1088101.0,172261982.0,239.19,215.47,917.77,1.69,45,90.09,Highly Variable
Rice,DINDIGUL,23,666388.0,147598238.0,269.39,220.61,608.36,2.83,45,81.9,Highly Variable
Rice,THENI,23,592552.0,142988434.0,287.96,230.21,602.93,3.12,45,79.95,Highly Variable
Rice,THOOTHUKUDI,21,334462.0,142693600.0,413.12,62.91,516.62,220.8,25,15.23,Stable
Rice,KRISHNAGIRI,16,504446.0,131048298.0,294.23,209.64,500.62,2.57,32,71.25,Highly Variable
Rice,NAMAKKAL,23,520919.0,116931994.0,263.13,211.25,579.21,3.18,45,80.28,Highly Variable
Rice,KARUR,23,552624.0,109824183.0,222.08,190.3,556.29,2.58,42,85.69,Highly Variable
Rice,ARIYALUR,11,366086.0,101135038.0,310.87,185.17,538.76,2.08,22,59.56,Highly Variable
Rice,TIRUPPUR,11,135243.0,45096141.0,336.37,217.52,577.51,2.47,19,64.67,Highly Variable
Rice,COIMBATORE,23,241319.0,43436439.0,246.92,218.37,988.61,2.79,44,88.44,Highly Variable
Rice,THE NILGIRIS,23,43129.0,7523645.0,214.39,191.34,468.75,2.64,39,89.25,Highly Variable
Rice,TUTICORIN,18,300348.0,6964332.0,61.06,138.97,410.66,3.44,20,227.59,Highly Variable
Sugarcane,VILLUPURAM,23,2093393.0,13445383730.0,6260.29,5463.5,13290.1,87.16,39,87.27,Highly Variable
Sugarcane,CUDDALORE,23,1247553.0,7627047243.0,6370.14,5570.48,13480.4,94.91,39,87.45,Highly Variable
Sugarcane,ERODE,23,1098523.0,6997905769.0,6679.81,5936.36,14765.99,90.72,39,88.87,Highly Variable
Sugarcane,TIRUVANNAMALAI,23,1004584.0,5116712379.0,5049.78,4669.23,11671.89,14.31,39,92.46,Highly Variable
Sugarcane,NAMAKKAL,23,562797.0,4071751121.0,7322.2,6530.71,18841.5,79.2,39,89.19,Highly Variable
Sugarcane,VELLORE,23,662285.0,2870420774.0,4921.79,4347.39,9943.98,48.87,39,88.33,Highly Variable
Sugarcane,DHARMAPURI,23,621762.0,2864345892.0,4861.61,4325.33,11255.05,61.58,39,88.97,Highly Variable
Sugarcane,THANJAVUR,23,429413.0,2387823562.0,5923.9,5224.71,13438.9,89.53,39,88.2,Highly Variable
Sugarcane,THENI,23,311038.0,2117781360.0,6893.79,6372.79,22424.97,82.91,39,92.44,Highly Variable
Sugarcane,SALEM,23,384220.0,2042942650.0,5512.85,4951.91,13379.75,64.26,39,89.82,Highly Variable
Sugarcane,PERAMBALUR,23,360809.0,1959400940.0,5905.06,5848.51,25835.28,63.07,39,99.04,Highly Variable
Sugarcane,THIRUVALLUR,23,255875.0,1612746675.0,6286.24,5583.79,17287.42,94.99,39,88.83,Highly Variable
Sugarcane,PUDUKKOTTAI,23,250520.0,1486789277.0,6077.74,5451.64,14553.7,69.01,39,89.7,Highly Variable
Sugarcane,KANCHIPURAM,23,185227.0,1345108084.0,6324.03,6014.98,24265.79,78.58,39,95.11,Highly Variable
Sugarcane,COIMBATORE,23,228951.0,1296498691.0,6665.52,6732.01,31473.61,86.26,39,101.0,Highly Variable
Sugarcane,MADURAI,23,190675.0,1226130076.0,6121.57,6316.2,30348.48,67.79,39,103.18,Highly Variable
Sugarcane,KARUR,23,233288.0,1225534092.0,5636.3,5046.02,13676.58,64.09,39,89.53,Highly Variable
